Vivado Simulator 2018.2
Time resolution is 1 ps
a=0x0 b=0x0  c_out=0x0 sum=0x0 error=0x0 
a=0x3524 b=0x5e81  c_out=0x0 sum=0x93a5 error=0x0 
a=0xd609 b=0x5663  c_out=0x1 sum=0x2c6c error=0x0 
a=0x7b0d b=0x998d  c_out=0x1 sum=0x149a error=0x0 
a=0x8465 b=0x5212  c_out=0x0 sum=0xd677 error=0x0 
a=0xe301 b=0xcd0d  c_out=0x1 sum=0xb00e error=0x0 
a=0xf176 b=0xcd3d  c_out=0x1 sum=0xbeb3 error=0x0 
a=0x57ed b=0xf78c  c_out=0x1 sum=0x4f79 error=0x0 
a=0xe9f9 b=0x24c6  c_out=0x1 sum=0xebf error=0x0 
a=0x84c5 b=0xd2aa  c_out=0x1 sum=0x576f error=0x0 
a=0xf7e5 b=0x7277  c_out=0x1 sum=0x6a5c error=0x0 
a=0xd612 b=0xdb8f  c_out=0x1 sum=0xb1a1 error=0x0 
a=0x69f2 b=0x96ce  c_out=0x0 sum=0xe0c0 error=0x1 
a=0x7ae8 b=0x4ec5  c_out=0x0 sum=0xc9ad error=0x0 
a=0x495c b=0x28bd  c_out=0x0 sum=0x7219 error=0x0 
a=0x582d b=0x2665  c_out=0x0 sum=0x7e92 error=0x1 
a=0x6263 b=0x870a  c_out=0x0 sum=0xe96d error=0x0 
a=0x2280 b=0x2120  c_out=0x0 sum=0x43a0 error=0x0 
a=0x45aa b=0xcc9d  c_out=0x1 sum=0x1247 error=0x0 
a=0x3e96 b=0xb813  c_out=0x0 sum=0xf6a9 error=0x0 
a=0x380d b=0xd653  c_out=0x1 sum=0xe60 error=0x0 
a=0xdd6b b=0x2ad5  c_out=0x1 sum=0x800 error=0x1 
a=0x4a02 b=0x3eae  c_out=0x0 sum=0x88b0 error=0x0 
a=0xe91d b=0x72cf  c_out=0x1 sum=0x5bec error=0x0 
a=0x4923 b=0x650a  c_out=0x0 sum=0xae2d error=0x0 
a=0xaca b=0x4c3c  c_out=0x0 sum=0x5706 error=0x0 
a=0xbdf2 b=0x618a  c_out=0x1 sum=0x1f7c error=0x0 
a=0xb341 b=0x34d8  c_out=0x0 sum=0xe819 error=0x0 
a=0xf378 b=0x1289  c_out=0x1 sum=0x401 error=0x0 
a=0xdeb b=0x65b6  c_out=0x0 sum=0x73a1 error=0x0 
a=0xf9c6 b=0x13ae  c_out=0x1 sum=0xd74 error=0x0 
a=0x2bc b=0xdd2a  c_out=0x0 sum=0xdfe6 error=0x1 
a=0x9a0b b=0xbe71  c_out=0x1 sum=0x587c error=0x0 
a=0x4185 b=0x554f  c_out=0x0 sum=0x96d4 error=0x0 
a=0x603b b=0x333a  c_out=0x0 sum=0x9375 error=0x0 
a=0x327e b=0x4b15  c_out=0x0 sum=0x7d93 error=0x0 
a=0x9bf1 b=0x4bd9  c_out=0x0 sum=0xe7ca error=0x0 
a=0x762 b=0xfb4c  c_out=0x0 sum=0x82ae error=0x1 
a=0x559f b=0xa18f  c_out=0x0 sum=0xf72e error=0x0 
a=0xa9f8 b=0x60b7  c_out=0x1 sum=0xaaf error=0x0 
a=0x569f b=0x945c  c_out=0x0 sum=0xeafb error=0x0 
a=0xc05b b=0x3789  c_out=0x0 sum=0xf7e4 error=0x1 
a=0x3249 b=0x3ed0  c_out=0x0 sum=0x7119 error=0x0 
a=0xc0d7 b=0xfc51  c_out=0x1 sum=0xbd28 error=0x0 
a=0x2f96 b=0x7f0c  c_out=0x0 sum=0xaea2 error=0x0 
a=0xcec2 b=0xedc8  c_out=0x1 sum=0xbc8a error=0x0 
a=0x5a77 b=0xed3d  c_out=0x1 sum=0x47b4 error=0x0 
a=0xdb12 b=0x7e  c_out=0x0 sum=0xdb90 error=0x0 
a=0x816d b=0xe739  c_out=0x1 sum=0x68a6 error=0x0 
a=0x8f1f b=0xf6d3  c_out=0x1 sum=0x85f2 error=0x0 
a=0x2f85 b=0x8878  c_out=0x0 sum=0xb7fd error=0x0 
a=0x595b b=0x4b49  c_out=0x0 sum=0xa4a4 error=0x0 
a=0xae3f b=0xaf2a  c_out=0x1 sum=0x5d69 error=0x0 
a=0x6358 b=0x3886  c_out=0x0 sum=0x9bde error=0x0 
a=0xc8e b=0xf29c  c_out=0x0 sum=0xff2a error=0x1 
a=0x99fa b=0xbc26  c_out=0x1 sum=0x5620 error=0x0 
a=0x1773 b=0xb4a3  c_out=0x0 sum=0xcc16 error=0x0 
a=0xa82f b=0x92b3  c_out=0x1 sum=0x3ae2 error=0x0 
a=0x565f b=0xd44  c_out=0x0 sum=0x63a3 error=0x0 
a=0xfdf7 b=0x36cb  c_out=0x1 sum=0x34c2 error=0x0 
a=0x1ae6 b=0xdb5a  c_out=0x0 sum=0xf640 error=0x0 
a=0xc129 b=0xe2ed  c_out=0x1 sum=0xa416 error=0x0 
a=0x6cda b=0xb665  c_out=0x1 sum=0x233f error=0x0 
a=0xe2b5 b=0x94df  c_out=0x1 sum=0x7794 error=0x0 
a=0x1979 b=0xff44  c_out=0x1 sum=0x18bd error=0x0 
a=0xcd0 b=0xb2a  c_out=0x0 sum=0x17fa error=0x1 
a=0xadab b=0xcf0e  c_out=0x1 sum=0x7cb9 error=0x0 
a=0xaddc b=0xbc9a  c_out=0x1 sum=0x6a76 error=0x0 
a=0x72fd b=0x2c3  c_out=0x0 sum=0x7580 error=0x1 
a=0xed56 b=0xe94e  c_out=0x1 sum=0xd6a4 error=0x0 
a=0x7667 b=0x340a  c_out=0x0 sum=0xaa71 error=0x0 
a=0xb9b6 b=0x8a38  c_out=0x1 sum=0x43ee error=0x0 
a=0x8779 b=0xc4b8  c_out=0x1 sum=0x4c31 error=0x0 
a=0xbf94 b=0x5d93  c_out=0x1 sum=0x1d27 error=0x0 
a=0x2c04 b=0xca59  c_out=0x0 sum=0xf65d error=0x0 
a=0x69db b=0xde4d  c_out=0x1 sum=0x4828 error=0x0 
a=0xb7d9 b=0x266d  c_out=0x0 sum=0xde46 error=0x0 
a=0xe276 b=0x49ca  c_out=0x1 sum=0x2c40 error=0x0 
a=0x2db6 b=0x7195  c_out=0x0 sum=0x9f4b error=0x0 
a=0x1a46 b=0x9b04  c_out=0x0 sum=0xb54a error=0x0 
a=0x61f7 b=0x769  c_out=0x0 sum=0x6960 error=0x0 
a=0xbab4 b=0x8d88  c_out=0x1 sum=0x483c error=0x0 
a=0xd928 b=0x42d  c_out=0x0 sum=0xdd55 error=0x0 
a=0x30c7 b=0x9c2e  c_out=0x0 sum=0xccf5 error=0x0 
